,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,completed sets,packs,simulations
117,1.0,,1.0,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,3.0,1.0,,1.0,1.0,1.0,1.0,1.0,,0.7916666666666666,4.0,500.0
118,1.0,,1.0,,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,,,1.0,2.0,1.0,2.0,,1.0,1.0,0.75,4.0,500.0
119,,,1.0,3.0,,3.0,3.0,,,1.0,1.0,,,1.0,1.0,2.0,2.0,,,,1.0,2.0,3.0,,0.5416666666666666,4.0,500.0
120,1.0,1.0,1.0,2.0,2.0,,,2.0,3.0,2.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.7083333333333334,4.0,500.0
121,,,,,2.0,1.0,,,,1.0,1.0,,,,3.0,1.0,2.0,1.0,1.0,,3.0,5.0,2.0,1.0,0.5416666666666666,4.0,500.0
122,1.0,1.0,1.0,,2.0,1.0,1.0,3.0,1.0,1.0,,,1.0,1.0,1.0,3.0,2.0,,1.0,1.0,,1.0,1.0,,0.75,4.0,500.0
123,,1.0,3.0,1.0,3.0,1.0,,2.0,1.0,,1.0,,2.0,2.0,2.0,,,,1.0,,1.0,,2.0,1.0,0.625,4.0,500.0
124,,,,,,1.0,1.0,1.0,4.0,1.0,,2.0,,3.0,1.0,1.0,3.0,1.0,,,3.0,1.0,1.0,,0.5833333333333334,4.0,500.0
125,,,3.0,1.0,,2.0,,,1.0,,2.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,,1.0,,2.0,,0.625,4.0,500.0
126,,1.0,,1.0,,1.0,1.0,2.0,3.0,2.0,3.0,,2.0,,1.0,,2.0,,,4.0,,,,1.0,0.5416666666666666,4.0,500.0
127,,,2.0,1.0,2.0,2.0,,2.0,1.0,2.0,,2.0,,1.0,1.0,,1.0,,,2.0,1.0,1.0,2.0,1.0,0.6666666666666666,4.0,500.0
128,,,,,2.0,1.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,2.0,,1.0,,0.625,4.0,500.0
129,,1.0,1.0,1.0,1.0,2.0,2.0,,3.0,1.0,1.0,,,,1.0,,1.0,1.0,2.0,3.0,1.0,2.0,,,0.6666666666666666,4.0,500.0
130,,,1.0,1.0,1.0,3.0,,1.0,4.0,,1.0,,,1.0,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,2.0,0.6666666666666666,4.0,500.0
131,,,2.0,,2.0,1.0,3.0,3.0,2.0,2.0,,1.0,,1.0,,2.0,,1.0,2.0,2.0,,,,,0.5416666666666666,4.0,500.0
132,1.0,,1.0,1.0,,1.0,,3.0,1.0,2.0,,,1.0,1.0,3.0,2.0,1.0,1.0,3.0,1.0,,1.0,,,0.6666666666666666,4.0,500.0
133,,,,,,,2.0,1.0,1.0,2.0,1.0,,2.0,,2.0,1.0,4.0,3.0,1.0,,1.0,1.0,2.0,,0.5833333333333334,4.0,500.0
